index,b_int,g_int,r_int,h_int,s_int,v_int
f10c4.png,179.5725,161.06,187.0225,120.4575,63.465,188.135
f10c5.png,129.71,109.255,120.9575,109.7175,60.825,129.9725
f10c6.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f10c7.png,199.38,211.41,204.1675,41.5125,45.39,218.7675
f10c8.png,175.4525,157.905,197.78,127.03,69.955,197.8975
f10c9.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f10c10.png,196.6825,160.8625,144.8875,97.41,89.1325,200.7225
f11c0.png,118.0725,101.7,114.685,116.715,60.975,119.8875
f11c1.png,128.505,108.855,122.4175,112.1375,61.305,129.015
f11c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f11c3.png,208.0375,222.1125,217.7525,40.2775,34.055,227.1175
f11c4.png,106.8025,93.57,105.64,115.5625,63.7175,111.29
f11c5.png,126.35,113.175,128.67,121.8625,45.4025,128.67
f11c6.png,113.845,114.13,141.8,44.375,93.2525,149.4525
f11c7.png,131.7275,103.305,106.73,101.725,84.3175,132.2225
f11c8.png,106.805,90.875,132.0325,128.915,109.475,133.5675
f11c9.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f11c10.png,111.765,96.45,122.06,115.7325,107.7625,124.4575
f11c11.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f11c12.png,175.86,156.6125,185.05,121.0425,69.0325,186.1
f11c13.png,196.6825,160.8625,144.8875,97.41,89.1325,200.7225
f12c0.png,125.93,112.965,128.3425,122.03,45.305,128.35
f12c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f12c2.png,213.28,224.07,219.0975,41.665,37.1825,232.0325
f12c3.png,113.845,114.13,141.8,44.375,93.2525,149.4525
f12c4.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f12c5.png,99.6175,80.545,86.195,102.4575,101.2125,99.7125
f12c6.png,97.795,85.4175,94.1825,113.1075,62.8475,98.9775
f12c7.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f12c8.png,156.18,121.2625,137.08,105.475,104.9025,174.005
f12c9.png,181.265,162.5875,187.1125,117.66,61.6925,188.2575
f12c10.png,121.545,99.8775,107.4925,106.34,75.16,123.0625
f12c11.png,195.9475,161.01,144.8875,97.5525,88.61,200.2175
f13c0.png,126.41,113.455,128.8025,122.0075,44.6425,128.81
f13c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f13c2.png,110.8725,93.0225,132.15,127.645,114.3075,133.02
f13c3.png,113.845,114.13,141.8,44.375,93.2525,149.4525
f13c4.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f13c5.png,200.47,210.1625,201.655,42.5725,47.9125,219.115
f13c6.png,121.21,101.0125,111.28,111.66,72.3675,122.2425
f13c7.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f13c8.png,124.8325,99.9275,103.27,100.9,79.665,125.13
f13c9.png,97.795,85.3975,94.215,113.13,62.995,99.005
f13c10.png,164.5225,145.16,181.99,125.145,78.55,182.78
f13c11.png,195.9475,161.01,144.8875,97.5525,88.61,200.2175
f14c0.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f14c1.png,213.28,224.07,219.0975,41.665,37.1825,232.0325
f14c2.png,148.4775,130.6,146.8075,115.9375,47.105,149.5075
f14c3.png,113.845,114.13,141.8,44.375,93.2525,149.4525
f14c4.png,116.9225,98.1275,113.62,114.845,87.835,126.0175
f14c5.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f14c6.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f14c7.png,119.335,100.48,113.82,112.9575,68.875,122.4225
f14c8.png,97.77,85.3975,94.2375,113.1775,63.04,99.025
f14c9.png,195.9475,161.01,144.8875,97.5525,88.61,200.2175
f15c0.png,116.0625,101.6075,114.685,117.69,57.265,117.8975
f15c1.png,129.125,108.325,120.7525,109.4375,62.8925,129.195
f15c2.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f15c3.png,207.2025,220.25,215.6125,42.23,40.3325,227.91
f15c4.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f15c5.png,145.425,127.54,145.015,116.5775,54.1925,148.07
f15c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f15c7.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f15c8.png,126.88,108.325,138.0625,122.9075,91.615,138.63
f15c9.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f16c0.png,122.685,108.69,122.9875,119.275,47.8575,124.4325
f16c1.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f16c2.png,129.2,108.3725,120.8075,109.4275,62.7675,129.27
f16c3.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f16c4.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f16c5.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f16c6.png,126.8825,108.3225,138.065,122.9075,91.6025,138.6325
f16c7.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f16c8.png,157.3325,160.5125,203.49,22.9875,65.45,203.49
f16c9.png,162.32,147.5375,188.42,119.5,82.255,188.5175
f16c10.png,182.125,162.685,185.4325,118.4925,59.8225,186.955
f16c11.png,142.5,127.8675,142.9175,119.2875,39.615,143.9325
f16c12.png,104.9175,89.5075,132.3325,126.705,128.3425,132.98
f16c13.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f17c0.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f17c1.png,118.49,101.3025,131.2475,120.2575,110.64,133.5875
f17c2.png,117.53,101.5925,113.7175,115.7925,59.225,119.09
f17c3.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f17c4.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f17c5.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f17c6.png,142.585,107.37,81.1975,84.9025,139.845,142.585
f17c7.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f17c8.png,127.0125,108.3775,138.1875,122.9025,91.6025,138.7225
f17c9.png,112.255,95.8875,144.3675,130.1175,112.255,144.9175
f17c10.png,153.14,121.0875,127.0025,103.0475,74.35,153.22
f17c11.png,112.435,98.5625,114.8225,116.8325,63.445,119.78
f17c12.png,139.96,125.795,141.3025,120.3875,40.06,141.5675
f17c13.png,162.8525,147.88,188.91,121.32,81.7925,189.0025
f17c14.png,174.415,147.155,141.6025,102.9925,82.56,180.64
f17c15.png,158.625,161.645,206.145,25.96,66.2275,206.145
f18c0.png,107.7025,94.7525,107.12,115.325,60.5575,112.16
f18c1.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f18c2.png,131.305,107.055,115.6,104.665,67.9325,131.305
f18c3.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f18c4.png,207.3675,222.2325,218.89,42.065,36.1175,228.0975
f18c5.png,123.5225,91.065,75.5725,89.4625,152.5125,123.5225
f18c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f18c7.png,108.2975,92.395,132.4625,126.565,105.9225,134.795
